ID,NAME,LAUNCH_DATE,SUCCESS_STATUS,ROCKET
5eb87d14ffd86e000604b361,Paz / Starlink Demo,2018-02-22,true,5e9d0d95eda69973a809d1ec
5eb87d15ffd86e000604b362,Hispasat 30W-6,2018-03-06,true,5e9d0d95eda69973a809d1ec
5eb87d16ffd86e000604b363,Iridium NEXT Mission 5,2018-03-30,true,5e9d0d95eda69973a809d1ec
5eb87d16ffd86e000604b364,CRS-14,2018-04-02,true,5e9d0d95eda69973a809d1ec
5eb87d18ffd86e000604b365,TESS,2018-04-18,true,5e9d0d95eda69973a809d1ec
5eb87d19ffd86e000604b366,Bangabandhu-1,2018-05-11,true,5e9d0d95eda69973a809d1ec
5eb87d1affd86e000604b367,Iridium NEXT Mission 6,2018-05-22,true,5e9d0d95eda69973a809d1ec
5eb87d1bffd86e000604b368,SES-12,2018-06-04,true,5e9d0d95eda69973a809d1ec
5eb87d1cffd86e000604b369,CRS-15,2018-06-29,true,5e9d0d95eda69973a809d1ec
5eb87d1effd86e000604b36a,Telstar 19V,2018-07-22,true,5e9d0d95eda69973a809d1ec
5eb87d1fffd86e000604b36b,Iridium NEXT Mission 7,2018-07-25,true,5e9d0d95eda69973a809d1ec
5eb87d20ffd86e000604b36c,Merah Putih,2018-08-07,true,5e9d0d95eda69973a809d1ec
5eb87d22ffd86e000604b36d,Telstar 18V,2018-09-10,true,5e9d0d95eda69973a809d1ec
5eb87d23ffd86e000604b36e,SAOCOM 1A,2018-10-08,true,5e9d0d95eda69973a809d1ec
5eb87d24ffd86e000604b36f,Es’hail 2,2018-11-15,true,5e9d0d95eda69973a809d1ec
5eb87d25ffd86e000604b370,SSO-A,2018-12-03,true,5e9d0d95eda69973a809d1ec
5eb87d26ffd86e000604b371,CRS-16,2018-12-05,true,5e9d0d95eda69973a809d1ec
5eb87d27ffd86e000604b372,GPS III SV01,2018-12-23,true,5e9d0d95eda69973a809d1ec
5eb87d28ffd86e000604b373,Iridium NEXT Mission 8,2019-01-11,true,5e9d0d95eda69973a809d1ec
5eb87d2affd86e000604b374,Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22,true,5e9d0d95eda69973a809d1ec
5eb87d2bffd86e000604b375,CCtCap Demo Mission 1,2019-03-02,true,5e9d0d95eda69973a809d1ec
5eb87d2dffd86e000604b376,ArabSat 6A,2019-04-11,true,5e9d0d95eda69974db09d1ed
5eb87d2effd86e000604b377,CRS-17,2019-05-04,true,5e9d0d95eda69973a809d1ec
5eb87d30ffd86e000604b378,Starlink v0.9,2019-05-24,true,5e9d0d95eda69973a809d1ec
5eb87d31ffd86e000604b379,RADARSAT Constellation,2019-06-12,true,5e9d0d95eda69973a809d1ec
5eb87d35ffd86e000604b37a,STP-2,2019-06-25,true,5e9d0d95eda69974db09d1ed
5eb87d36ffd86e000604b37b,CRS-18,2019-07-25,true,5e9d0d95eda69973a809d1ec
5eb87d37ffd86e000604b37c,Amos-17,2019-08-06,true,5e9d0d95eda69973a809d1ec
5eb87d39ffd86e000604b37d,Starlink-1,2019-11-11,true,5e9d0d95eda69973a809d1ec
5eb87d39ffd86e000604b37e,CRS-19,2019-12-05,true,5e9d0d95eda69973a809d1ec
5eb87d3bffd86e000604b37f,JCSat 18 / Kacific 1,2019-12-17,true,5e9d0d95eda69973a809d1ec
5eb87d3cffd86e000604b380,Starlink-2,2020-01-07,true,5e9d0d95eda69973a809d1ec
5eb87d3dffd86e000604b381,Crew Dragon In Flight Abort Test,2020-01-19,true,5e9d0d95eda69973a809d1ec
5eb87d3fffd86e000604b382,Starlink-3,2020-01-29,true,5e9d0d95eda69973a809d1ec
5eb87d41ffd86e000604b383,Starlink-4,2020-02-17,true,5e9d0d95eda69973a809d1ec
5eb87d42ffd86e000604b384,CRS-20,2020-03-07,true,5e9d0d95eda69973a809d1ec
5eb87d43ffd86e000604b385,Starlink-5,2020-03-18,true,5e9d0d95eda69973a809d1ec
5eb87d44ffd86e000604b386,Starlink-6,2020-04-22,true,5e9d0d95eda69973a809d1ec
5eb87d45ffd86e000604b387,Starlink-7,2020-06-04,true,5e9d0d95eda69973a809d1ec
5eb87d46ffd86e000604b388,CCtCap Demo Mission 2,2020-05-30,true,5e9d0d95eda69973a809d1ec
5eb87d46ffd86e000604b389,Starlink-8 & SkySat 16-18,2020-06-13,true,5e9d0d95eda69973a809d1ec
5eb87d47ffd86e000604b38a,"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30,true,5e9d0d95eda69973a809d1ec
5eb87d4affd86e000604b38b,GPS III SV03 (Columbus),2020-06-30,true,5e9d0d95eda69973a809d1ec
5eb87d4bffd86e000604b38c,SXM-7,2020-12-13,true,5e9d0d95eda69973a809d1ec
5eb87d4cffd86e000604b38d,GPS III SV04 (Sacagawea),2020-11-05,true,5e9d0d95eda69973a809d1ec
5eb87d4dffd86e000604b38e,Crew-1,2020-11-16,true,5e9d0d95eda69973a809d1ec
5eb87d4effd86e000604b390,GPS III SV05,2021-06-17,true,5e9d0d95eda69973a809d1ec
5eb87d4effd86e000604b391,CRS-21,2020-12-06,true,5e9d0d95eda69973a809d1ec
5eb87d4fffd86e000604b393,Turksat 5A,2021-01-08,true,5e9d0d95eda69973a809d1ec
5eb87d50ffd86e000604b394,ANASIS-II,2020-07-20,true,5e9d0d95eda69973a809d1ec
5ed9819a1f30554030d45c29,Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07,true,5e9d0d95eda69973a809d1ec
5ed981d91f30554030d45c2a,Starlink-10 (v1.0) & SkySat 19-21,2020-08-18,true,5e9d0d95eda69973a809d1ec
5ed983aa1f30554030d45c31,Sentinel-6 Michael Freilich,2020-11-21,true,5e9d0d95eda69973a809d1ec
5ef6a1e90059c33cee4a828a,Starlink-11 (v1.0),2020-09-03,true,5e9d0d95eda69973a809d1ec
5ef6a2090059c33cee4a828b,Starlink-12 (v1.0),2020-10-06,true,5e9d0d95eda69973a809d1ec
5ef6a2bf0059c33cee4a828c,Starlink-13 (v1.0),2020-10-18,true,5e9d0d95eda69973a809d1ec
5ef6a2e70059c33cee4a8293,Starlink-14 (v1.0),2020-10-24,true,5e9d0d95eda69973a809d1ec
